east,north,au
624676,598960,27
624631,598992,23
624589,599021,26
624547,599041,23
624491,599076,9
624457,599090,9
624401,599129,12
624353,599155,6
624277,597748,4
624220,597770,5
624173,597791,17
624138,597829,35
624089,597851,17
624048,597877,4
623983,597900,6
623955,597935,6
623907,597956,2
623862,597983,1
624303,597712,24
624366,597695,310
624401,597660,0
624451,597640,0
624490,597611,4
624540,597581,0
624579,597565,0
624633,597534,0
624671,597500,6
624723,597481,4
624762,597450,17
624810,597420,29
624851,597408,3
624901,597369,5
624956,597341,13
624993,597324,9
625032,597297,17
625095,597264,18
625132,597244,78
625178,597215,43
625222,597191,21
625269,597169,7
625313,597138,14
625349,597104,9
625404,597085,93
625457,597052,26
625490,597040,40
625540,597001,56
625588,596980,14
625630,596951,0
625669,596928,435
625731,596910,144
625757,596867,8
625805,596839,0
625851,596830,89
625911,596787,3
625948,596769,27
625993,596742,6
626030,596721,6
626084,596690,12
626137,596656,8
626182,596628,4
626221,596612,16
626268,596588,2
626313,596555,0
626362,596541,323
626410,596501,0
626440,596465,330
626492,596452,14
626531,596419,6
626590,596393,20
626629,596370,3
626673,596346,17
626719,596326,6
626764,596294,13
626809,596267,0
626855,596241,0
626900,596215,0
626945,596188,0
625011,598272,110
624961,598320,0
624911,598343,2
624880,598372,2
624834,598396,1
624783,598418,13
624729,598441,3
624683,598471,30
624640,598499,4
624611,598530,1
624550,598560,5
624500,598579,0
624468,598606,0
624420,598629,8
624372,598663,5
624329,598682,0
624281,598702,0
624242,598729,0
624193,598761,0
624130,598771,0
621647,600725,210
621666,600707,14
621708,600680,25
621775,600654,8
621820,600628,16
621865,600602,29
621911,600575,2
621956,600549,0
622001,600522,0
622047,600496,0
622090,600470,0
622137,600443,27
622183,600417,23
622219,600395,0
622270,600368,6
622300,600331,0
622365,600301,10
622418,600268,0
622409,600285,11
622455,600259,6
622500,600232,11
622545,600206,3
622591,600179,9
622636,600153,3
622681,600127,5
622727,600100,5
626368,599681,34
626420,599661,4
626440,599614,2
626502,599600,0
626558,599579,5
626314,599713,4
626263,599741,5
626223,599761,0
626177,599786,4
626141,599813,0
626098,599836,0
626044,599873,0
626001,599890,0
625971,599925,0
625904,599936,0
625869,599971,0
625816,599985,0
625769,600033,0
625741,600046,418
625685,600073,29
625631,600113,42
625585,600124,0
625552,600156,2
625502,600180,4
625452,600200,7
625424,600216,7
625371,600267,0
624103,598814,0
624057,598840,2
624011,598867,22
623967,598893,0
623920,598914,0
623876,598946,0
623831,598972,4
623780,598994,5
623731,599033,10
623695,599051,14
623649,599078,0
623608,599101,0
623549,599140,0
623513,599157,0
623469,599189,0
623423,599210,0
623375,599233,0
623332,599262,0
623287,599289,0
623241,599315,0
623574,598636,0
623620,598609,165
623665,598583,0
623710,598557,0
623756,598530,6
623801,598504,6
623846,598477,0
623892,598451,9
623937,598425,0
623982,598398,3
624028,598372,1
624073,598345,0
624118,598319,0
624164,598293,1
624209,598266,0
624254,598240,0
624300,598214,0
624345,598187,0
624390,598161,0
624436,598134,0
624481,598108,0
624526,598082,0
624572,598055,0
624617,598029,0
624662,598002,5
624708,597976,3
624753,597950,0
624799,597923,43
624844,597897,9
624889,597870,11
624935,597844,15
624980,597818,43
625025,597791,7
625071,597765,72
625116,597738,40
625161,597712,48
625207,597686,74
625252,597659,71
625297,597633,116
625343,597607,98
625388,597580,22
625433,597554,137
625479,597527,45
622818,600047,0
622863,600021,0
622908,599995,0
622954,599968,0
622999,599942,0
623044,599915,0
623090,599889,3
623135,599863,0
623180,599836,0
622108,599975,0
622160,599954,0
622205,599931,1
622235,599887,0
622295,599876,1
622327,599851,0
622370,599819,0
622415,599786,0
622474,599760,0
622516,599737,0
622561,599711,0
622616,599682,0
622652,599658,0
622690,599632,0
622750,599606,3
622788,599579,0
622823,599553,2
622878,599526,4
622924,599500,12
622968,599474,0
623014,599447,0
623060,599421,0
623105,599394,0
623141,599368,0
625055,598260,12
625100,598233,33
625146,598207,59
625191,598180,28
625236,598154,81
625282,598128,125
625327,598100,160
625370,598061,183
625419,598059,196
625463,598022,66
625508,597998,34
625561,597969,9
625599,597943,83
625644,597916,9
625680,597890,6
622772,600074,3
625524,597501,11
625569,597475,0
625615,597448,2
625660,597422,0
625705,597395,0
625751,597369,0
625796,597343,5
625841,597316,0
625887,597290,0
625932,597263,2
625977,597237,0
626023,597211,37
626068,597184,0
626114,597158,43
626159,597131,12
626204,597105,20
626250,597079,2
626295,597052,0
618968.58,595884.45,61
618924.33,595907.72,68
618880.07,595930.99,54
618835.82,595954.26,53
618791.56,595977.53,64
618614.55,596070.62,104
618570.29,596093.89,89
618526.04,596117.16,66
618481.78,596140.43,82
618437.53,596163.7,58
618393.27,596186.97,49
618349.02,596210.24,59
618260.51,596256.78,13
618216.25,596280.05,36
618172,596303.32,39
618127.75,596326.6,48
618083.49,596349.87,66
618039.24,596373.14,59
617994.98,596396.41,16
617950.73,596419.68,40
620428.98,595116.51,91
620561.75,595046.7,89
620606,595023.43,98
620650.26,595000.16,114
620694.51,594976.89,83
620738.77,594953.62,104
620783.02,594930.34,78
620827.27,594907.07,48
620871.53,594883.8,64
620915.78,594860.53,77
620960.04,594837.26,50
621004.29,594813.99,47
621048.55,594790.72,84
621092.8,594767.45,56
621137.06,594744.18,78
621181.31,594720.91,69
621225.57,594697.64,49
621269.82,594674.37,65
621314.08,594651.09,42
618391.15,595645.77,60
618346.89,595669.04,78
618302.64,595692.31,53
618258.38,595715.58,133
618214.13,595738.86,52
618081.36,595808.67,167
617948.6,595878.48,68
617904.35,595901.75,48
617860.09,595925.02,79
617815.84,595948.29,91
621423.86,600016.53,659
621468.11,599993.26,100
621512.37,599969.99,172
621556.62,599946.72,68
621600.87,599923.45,60
621645.13,599900.18,121
621689.38,599876.91,59
621733.64,599853.64,13
621866.4,599783.83,6
621910.66,599760.56,7
621954.91,599737.28,4
621999.17,599714.01,301
622087.67,599667.47,87
622131.93,599644.2,78
622176.18,599620.93,16
622220.44,599597.66,8
622264.69,599574.39,3
622308.95,599551.12,84
622353.2,599527.85,5
622397.46,599504.58,7
622441.71,599481.31,50
622485.97,599458.03,56
622530.22,599434.76,50
622574.48,599411.49,30
622618.73,599388.22,11
622662.98,599364.95,7
622707.24,599341.68,64
622751.49,599318.41,98
622795.75,599295.14,69
622840,599271.87,70
619588.15,595558.66,95
619720.91,595488.84,114
619765.16,595465.57,99
619809.42,595442.3,113
619853.67,595419.03,82
619897.93,595395.76,94
619942.18,595372.49,73
619986.44,595349.22,175
620030.69,595325.95,163
620163.46,595256.14,68
620207.71,595232.87,107
620251.97,595209.59,95
620296.22,595186.32,86
620340.47,595163.05,136
620384.73,595139.78,116
617417.54,596157.73,3
617373.29,596181,7
617329.04,596204.27,4
617284.78,596227.54,5
617240.53,596250.81,26
617196.27,596274.08,11
617152.02,596297.36,6
617107.76,596320.63,11
617063.51,596343.9,23
617019.25,596367.17,8
623486.8,594593.22,11
623531.06,594569.95,7
623575.31,594546.68,5
623619.57,594523.41,9
623663.82,594500.14,11
623708.08,594476.87,6
623657.44,592876.54,6
623613.19,592899.81,6
623568.93,592923.08,5
623524.68,592946.35,7
623480.42,592969.63,14
623436.17,592992.9,9
623303.4,593062.71,9
623259.15,593085.98,133
618212,595197.66,8
618167.75,595220.93,279
617946.47,595337.28,32
617902.22,595360.55,73
617857.96,595383.82,32
617725.2,595453.64,29
617680.95,595476.91,21
617636.69,595500.18,24
617592.44,595523.45,11
617548.18,595546.72,27
617503.93,595569.99,17
